,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Fortuna Foothills,1,US,1562904420,18,32.66,-114.41,98.6,4.7
378,Bugene,100,TZ,1562904421,61,-1.59,31.14,66.71,1.39
379,Jaisalmer,67,IN,1562904422,62,26.91,70.91,85.48,30.74
380,Pascagoula,75,US,1562904424,94,30.37,-88.56,82.4,4.7
381,Madimba,75,CM,1562904425,100,4.42,9.93,73.4,1.41
382,Lhokseumawe,72,ID,1562904426,66,5.18,97.15,83.61,2.64
383,Hohhot,0,CN,1562904427,47,40.81,111.65,78.8,4.47
384,Santa Cruz,16,BR,1562904428,90,-6.22,-36.02,66.66,7.0
385,Przeworsk,0,PL,1562904430,93,50.06,22.49,54.0,4.7
386,Pamanukan,40,ID,1562904431,48,-6.28,107.82,86.03,4.36
387,Beruwala,20,LK,1562904432,80,6.48,79.98,82.66,10.8
388,Laktasi,0,BA,1562904433,87,44.91,17.3,55.4,4.7
389,Bubaque,100,GW,1562904435,84,11.28,-15.83,79.67,6.15
390,Teya,75,MX,1562904436,78,21.05,-89.07,82.99,6.67
391,Pisco,0,PE,1562904437,87,-13.71,-76.2,59.0,4.7
392,Nelson,100,CA,1562904438,68,49.49,-117.29,73.0,1.59
393,Anchorage,75,US,1562904440,77,61.22,-149.89,64.4,8.66
394,Alta Floresta,0,BR,1562904441,49,-9.87,-56.08,69.99,2.55
395,Quang Ngai,6,VN,1562904442,39,15.12,108.8,96.23,1.72
396,Diamantino,0,BR,1562904401,46,-14.4,-56.44,68.67,4.92
397,Reforma,90,MX,1562904444,82,24.02,-104.65,60.8,4.7
398,Caluquembe,0,AO,1562904446,31,-13.78,14.68,49.95,2.66
399,High Level,40,CA,1562904447,26,58.52,-117.13,78.8,2.24
400,Sorland,87,NO,1562904448,85,67.67,12.69,48.73,23.49
401,Progreso,90,UY,1562904261,100,-34.68,-56.22,55.4,6.93
402,Christchurch,100,NZ,1562904450,76,-43.53,172.64,55.99,12.75
403,Agdam,0,AZ,1562904451,71,39.99,46.93,64.1,3.47
404,Ust-Nera,62,RU,1562904387,41,64.57,143.24,71.57,8.14
405,Coos Bay,90,US,1562904454,93,43.37,-124.22,62.01,11.41
406,Arman,15,RU,1562904455,53,59.7,150.17,75.93,8.97
407,Zorritos,90,PE,1562904456,33,-3.68,-80.68,89.6,4.7
408,Calama,0,CL,1562904234,24,-22.46,-68.93,42.8,20.8
409,North Bend,90,US,1562904308,93,43.41,-124.22,62.01,8.05
410,Churapcha,0,RU,1562904460,35,62.0,132.43,85.92,4.83
411,Muroto,75,JP,1562904461,74,33.37,134.14,80.6,9.17
412,Cururupu,3,BR,1562904462,99,-1.82,-44.87,71.08,1.45
413,Rafaela,100,AR,1562904463,66,-31.25,-61.49,60.01,3.0
414,Ribeira Grande,0,PT,1562904339,78,38.52,-28.7,70.91,4.92
415,Mareeba,75,AU,1562904374,64,-16.99,145.42,78.01,12.75
416,Coahuayana,100,MX,1562904467,98,18.62,-100.35,71.46,3.65
417,Svodin,0,SK,1562904468,82,47.91,18.5,59.0,3.36
418,Bandar-e Lengeh,63,IR,1562904469,70,26.56,54.88,89.6,5.03
419,Namibe,9,AO,1562904470,85,-15.19,12.15,64.57,12.44
420,Saveh,0,IR,1562904472,20,35.02,50.36,79.02,8.59
421,Shelburne,75,CA,1562904331,82,44.08,-80.2,66.2,3.36
422,Ugoofaaru,100,MV,1562904474,70,5.67,73.0,83.76,7.38
423,Morbach,40,DE,1562904475,100,49.52,10.62,57.0,4.7
424,Aracati,37,BR,1562904477,73,-4.56,-37.77,74.79,6.55
425,Isangel,90,VU,1562904478,73,-19.55,169.27,77.0,9.17
426,Hamilton,20,CA,1562904479,77,43.26,-79.87,68.0,9.17
427,Ortakoy,40,TR,1562904480,93,38.74,34.04,59.0,5.82
428,Zheleznodorozhnyy,75,RU,1562904481,93,55.75,38.0,53.6,6.71
429,Polyarnyy,75,RU,1562904483,75,69.2,33.45,42.8,8.95
430,Burnie,100,AU,1562904484,65,-41.05,145.91,46.37,14.05
431,Gweru,0,ZW,1562904485,50,-19.46,29.82,45.17,5.61
432,Beloha,0,MG,1562904486,89,-25.17,45.06,57.96,5.12
433,Praia da Vitoria,0,PT,1562904488,93,38.73,-27.07,66.2,1.12
434,Uchiza,64,PE,1562904489,64,-8.46,-76.46,67.85,2.8
435,Salina,1,US,1562904421,54,38.84,-97.61,78.8,4.7
436,Swan River,64,CA,1562904491,96,52.11,-101.27,56.33,5.99
437,San Jeronimo,0,PE,1562904492,69,-13.65,-73.37,41.58,1.34
438,Filadelfia,80,PY,1562904493,53,-22.35,-60.04,71.91,6.87
439,Mana,100,NG,1562904338,70,13.03,5.27,79.4,19.01
440,Safford,1,US,1562904496,13,32.83,-109.71,98.6,13.87
441,Tiarei,20,PF,1562904497,74,-17.53,-149.33,80.6,11.41
442,Anori,74,BR,1562904498,96,-3.74,-61.66,72.43,2.15
443,Longyearbyen,75,NO,1562904499,87,78.22,15.63,42.8,17.22
444,Bushehr,20,IR,1562904501,62,28.97,50.84,89.6,13.56
445,Cabo San Lucas,20,MX,1562904495,42,22.89,-109.91,86.0,14.99
446,Mataram,29,ID,1562904503,64,-5.32,105.06,82.35,3.8
447,Dzhankoy,68,UA,1562904504,60,45.71,34.39,65.34,8.57
448,Naze,100,NG,1562904505,97,5.43,7.07,71.64,5.86
449,Karpogory,0,RU,1562904507,80,64.0,44.44,43.96,6.76
450,Suez,0,EG,1562904508,66,29.97,32.54,73.97,3.42
451,Bathsheba,20,BB,1562904475,74,13.22,-59.52,82.4,19.46
452,Morondava,0,MG,1562904510,62,-20.3,44.28,70.29,11.59
453,Koumac,8,NC,1562904511,73,-20.56,164.28,71.88,18.9
454,Avera,1,US,1562904513,94,33.19,-82.53,80.6,4.9
455,Hofn,84,IS,1562904332,87,64.25,-15.21,41.49,4.79
456,Aklavik,75,CA,1562904515,57,68.22,-135.01,50.0,13.87
457,Kaberamaido,98,UG,1562904516,94,1.76,33.16,64.84,2.84
458,Jerez,40,ES,1562904517,94,36.68,-6.14,71.6,3.36
459,Sobolevo,100,RU,1562904519,94,54.43,31.9,48.75,3.24
460,Broken Hill,40,AU,1562904266,42,-31.97,141.45,62.6,24.16
461,Edson,41,CA,1562904521,72,53.59,-116.44,64.4,1.74
462,Concordia,100,AR,1562904522,81,-31.4,-58.02,66.0,5.01
463,Luangwa,91,MZ,1562904523,76,-15.62,30.4,49.32,1.43
464,San Andres,30,PH,1562904525,58,13.32,122.68,89.75,4.21
465,Grindavik,75,IS,1562904526,100,63.84,-22.43,55.0,2.24
466,Kinablangan,81,PH,1562904527,64,7.69,126.55,82.8,5.5
467,Ardakan,40,IR,1562904528,15,32.31,54.02,91.4,6.93
468,Vila,40,IT,1562904529,88,45.18,8.4,70.0,6.93
469,Deputatskiy,74,RU,1562904531,41,69.3,139.9,72.54,10.29
470,Catuday,0,PH,1562904532,72,16.29,119.81,84.86,6.78
471,Nabire,30,ID,1562904533,64,-3.36,135.5,78.61,6.82
472,Beira,75,ES,1562904534,100,43.2,-8.36,64.0,1.12
473,Quchan,0,IR,1562904536,22,37.11,58.51,75.96,3.18
474,Solvychegodsk,88,RU,1562904537,87,61.33,46.92,47.22,0.58
475,Ozernovskiy,100,RU,1562904538,97,51.5,156.52,44.84,9.04
476,Bloemfontein,0,ZA,1562904506,37,-29.12,26.22,32.0,2.24
477,Ouahigouya,100,BF,1562904541,58,13.58,-2.42,82.95,12.48
478,Weingarten,60,DE,1562904542,93,47.81,9.64,59.0,3.67
479,Talas,44,KG,1562904543,87,42.52,72.24,71.01,3.69
480,Bayan,0,CN,1562904544,57,36.1,102.26,59.48,1.81
481,Falun,78,SE,1562904546,81,60.61,15.63,53.01,2.24
482,Nouadhibou,5,MR,1562904547,77,20.93,-17.03,69.8,18.34
483,Pokhara,100,NP,1562904305,92,28.21,83.99,59.38,2.59
484,Brazzaville,75,CD,1562904549,88,-4.27,15.27,71.6,2.24
485,Laguna,40,BZ,1562904550,88,16.17,-88.94,78.8,2.15
486,Izhma,13,RU,1562904552,64,65.01,53.91,50.12,5.44
487,Uray,33,RU,1562904553,65,60.13,64.8,64.68,6.6
488,Stege,100,DK,1562904554,100,54.99,12.28,62.01,2.24
489,Ponta Delgada,20,PT,1562904555,88,37.73,-25.67,68.0,5.82
490,Russell,1,US,1562904557,64,38.9,-98.86,77.0,8.05
491,Yaan,82,NG,1562904558,98,7.38,8.57,70.37,4.14
492,Xining,1,CN,1562904559,62,36.62,101.77,56.0,5.97
493,Sydney,0,AU,1562904501,35,-33.85,151.22,69.8,21.92
494,Hillsboro,1,US,1562904561,88,39.16,-89.49,75.99,5.82
495,Denpasar,75,ID,1562904348,74,-8.65,115.22,82.4,17.22
496,Linxia,0,CN,1562904564,49,35.6,103.21,64.61,4.81
497,Zhangye,55,CN,1562904565,25,38.94,100.46,74.25,2.21
498,Kungurtug,100,RU,1562904566,72,50.6,97.53,62.64,2.46
499,Omsukchan,99,RU,1562904567,30,62.53,155.8,75.39,0.54
500,Ravar,20,IR,1562904569,15,31.27,56.81,83.23,1.3
501,Smithers,75,CA,1562904570,60,54.78,-127.17,68.0,11.41
502,Kamaishi,75,JP,1562904389,93,39.28,141.86,64.4,10.29
503,Eureka,90,US,1562904370,100,40.8,-124.16,64.0,9.17
504,Wadi Musa,0,JO,1562904573,38,30.32,35.48,71.01,2.01
505,Visby,87,SE,1562904575,93,57.64,18.3,55.0,7.65
506,Banjar,90,ID,1562904576,70,-7.37,108.54,78.38,3.15
507,Port Hardy,75,CA,1562904291,77,50.7,-127.42,62.6,8.05
508,Vilhena,20,BR,1562904280,60,-12.74,-60.15,69.5,1.81
509,Perth,20,AU,1562904293,67,-31.95,115.86,64.0,11.41
510,Nizhnevartovsk,0,RU,1562904580,77,60.93,76.58,69.8,6.71
511,Pizarro,100,CO,1562904582,79,4.95,-77.37,80.48,5.39
512,Orange,1,US,1562904409,44,33.79,-117.85,80.6,5.82
513,Carutapera,13,BR,1562904584,93,-1.2,-46.02,74.52,3.98
514,Chandbali,99,IN,1562904585,61,20.77,86.74,88.44,15.03
515,Taonan,100,CN,1562904586,54,45.34,122.78,80.41,6.58
516,Bonavista,100,CA,1562904307,81,48.65,-53.11,46.99,8.01
517,Houston,1,US,1562904299,62,29.76,-95.37,91.0,10.29
518,Saint-Leu,75,RE,1562904590,83,-21.15,55.28,69.8,8.05
519,Marystown,0,CA,1562904591,89,47.17,-55.16,46.77,5.88
520,Kangaatsiaq,0,GL,1562904592,84,68.31,-53.46,44.63,6.93
521,Virginia Beach,90,US,1562904330,100,36.85,-75.98,75.2,5.82
522,Nanortalik,100,GL,1562904595,95,60.14,-45.24,38.87,2.08
523,Shihezi,0,CN,1562904596,24,44.3,86.03,84.28,6.13
524,Wladyslawowo,0,PL,1562904597,87,54.79,18.4,62.01,3.36
525,Srandakan,51,ID,1562904598,81,-7.94,110.25,76.09,12.91
526,Enshi,100,CN,1562904599,98,30.29,109.48,62.86,0.51
527,Northam,20,AU,1562904601,67,-31.65,116.67,60.8,10.29
528,Saravan,20,AM,1562904602,36,39.72,45.65,80.6,6.93
529,Liuzhou,100,CN,1562904603,88,24.32,109.41,80.75,6.49
530,Kalabo,50,ZM,1562904604,43,-15.0,22.67,47.94,4.32
531,Pindwara,42,IN,1562904606,66,24.79,73.05,82.75,21.36
532,Ahipara,0,NZ,1562904607,84,-35.17,173.16,61.1,20.85
533,Mount Gambier,40,AU,1562904314,66,-37.83,140.78,53.6,20.8
534,Epiniana,54,GR,1562904609,95,39.14,21.61,57.0,0.81
535,Port-Gentil,100,GA,1562904611,81,-0.72,8.78,74.9,11.77
536,Lobito,39,AO,1562904612,87,-12.35,13.55,65.4,1.48
537,Erenhot,93,CN,1562904613,30,43.65,111.97,79.46,5.08
538,Phuket,40,TH,1562904614,59,7.89,98.4,89.6,6.93
539,Ouesso,100,CG,1562904616,95,1.61,16.05,68.01,2.17
540,Sao Jose da Coroa Grande,34,BR,1562904617,95,-8.9,-35.15,69.09,2.59
